Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,Unnamed: 12,Unnamed: 13,Unnamed: 14,status
31,NO4_1,NO4_1,1308.520931,load_NO4,0,0,0,0,,,0.5,,,,updated
32,NO2_3,NO2_3,1265.408628,load_NO2,0,0,0,0,,,0.5,,,,updated
33,NO5_1,NO5_1,668.0311649,load_NO5,0,0,0,0,,,0.5,,,,updated
34,NO4_3,NO4_3,821.7091914,load_NO4,0,0,0,0,,,0.5,,,,updated
35,NO2_2,NO2_2,629.0957489,load_NO2,0,0,0,0,,,0.5,,,,updated
36,NO3_3,NO3_3,710.443238,load_NO3,0,0,0,0,,,0.5,,,,updated
37,NO5_2,NO5_2,1476.372681,load_NO5,0,0,0,0,,,0.5,,,,updated
38,NO1_2,NO1_2,799.3172455,load_NO1,0,0,0,0,,,0.5,,,,updated
39,SE4_2,SE4_2,1306.664476,load_SE4,0,0,0,0,,,0.5,,,,updated
40,SE2_3,SE2_3,427.1136289,load_SE2,0,0,0,0,,,0.5,,,,updated
41,SE4_1,SE4_1,1645.777831,load_SE4,0,0,0,0,,,0.5,,,,updated
42,SE3_1,SE3_1,703.0688363,load_SE3,0,0,0,0,,,0.5,,,,updated
43,SE3_5,SE3_5,651.661427,load_SE3,0,0,0,0,,,0.5,,,,updated
44,SE2_7,SE2_7,365.2352713,load_SE2,0,0,0,0,,,0.5,,,,updated
45,SE3_3,SE3_3,2335.649964,load_SE3,0,0,0,0,,,0.5,,,,updated
46,SE3_10,SE3_10,450.249548,load_SE3,0,0,0,0,,,0.5,,,,updated
47,SE2_6,SE2_6,199.6965241,load_SE2,0,0,0,0,,,0.5,,,,updated
48,SE3_2,SE3_2,520.2416264,load_SE3,0,0,0,0,,,0.5,,,,updated
49,SE1_3,SE1_3,755.1351628,load_SE1,0,0,0,0,,,0.5,,,,updated
50,SE3_9,SE3_9,909.3060835,load_SE3,0,0,0,0,,,0.5,,,,updated
51,SE3_8,SE3_8,804.0249867,load_SE3,0,0,0,0,,,0.5,,,,updated
52,SE3_6,SE3_6,2315.383949,load_SE3,0,0,0,0,,,0.5,,,,updated
53,SE1_1,SE1_1,618.5186833,load_SE1,0,0,0,0,,,0.5,,,,updated
54,SE3_4,SE3_4,973.494953,load_SE3,0,0,0,0,,,0.5,,,,updated
55,SE2_4,SE2_4,218.6382955,load_SE2,0,0,0,0,,,0.5,,,,updated
56,SE3_7,SE3_7,897.8609336,load_SE3,0,0,0,0,,,0.5,,,,updated
57,SE2_5,SE2_5,363.9310478,load_SE2,0,0,0,0,,,0.5,,,,updated
58,SE2_2,SE2_2,467.2506171,load_SE2,0,0,0,0,,,0.5,,,,updated
59,GB,GB,34550.34247,load_GB,0,0,0,0,,,0.5,,,,
60,DE,DE,56258.10502,load_DE,0,0,0,0,,,0.5,,,,
61,NL,NL,12834.93151,load_NL,0,0,0,0,,,0.5,,,,
62,EE,EE,932.3829,load_EE,0,0,0,0,,,0.5,,,,
63,LT,LT,1321.1612,load_LT,0,0,0,0,,,0.5,,,,
64,PL,PL,19002.2273,load_PL,0,0,0,0,,,0.5,,,,
