node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
FI_2,FI2 4 hydro,hydro,25.8,0,0,0.46,inflow_NO1,414750,10,hydro,const,0.6,0,0,5,,,,updated
FI_2,FI_2 solar,solar,1.2840328328366304,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,created
FI_2,FI_2 biomass,biomass,76.03113561243282,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_2,FI_2 fossil_gas,fossil_gas,47.59117435747681,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_2,FI_2 fossil_other,fossil_other,88.02454866807709,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_3,FI_3 ror,ror,232.65162022640126,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_3,FI_3 solar,solar,3.835365187878238,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,created
FI_3,FI_3 fossil_gas,fossil_gas,142.15332249540194,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_3,FI2 1 onwind,wind_on,671.1073044,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_3,FI2 1 lignite,fossil_other,262.9265241562486,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_3,FI2 1 biomass,biomass,227.10258123117313,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI2 3 biomass,biomass,253.5524027476427,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI2 3 CCGT,fossil_gas,158.7094091219524,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI2 3 onwind,wind_on,749.2687604012266,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_4,FI_4 fossil_other,fossil_other,293.5486315676984,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_4,FI_4 solar,solar,4.282056388479773,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,created
