node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
FI_8,FI_8 fossil_gas,fossil_gas,44.88192062,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_9,FI_9 ror,ror,108.94445,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_9,FI_9 biomass,biomass,106.3459854,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI_9 fossil_other,fossil_other,123.1213673,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI_9 solar,solar,1.795997598,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI_9 wind_on,wind_on,314.261367,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI_9 fossil_gas,fossil_gas,66.56654928,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
NO1_1,NO1_1 wind_on,wind_on,71.70004265,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_1,NO1_1 biomass,biomass,6.004437069,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO1_1 fossil_gas,fossil_gas,1.236207632,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO1_1 solar,solar,3.002218535,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO1_1 ror,ror,458.9862336,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO1_1 hydro,hydro,247.5947286,0,0,0.46,inflow_NO1,1046361.46,10,hydro,const,0.6,0,0,5,,,,updated
NO1_2,NO1_2 biomass,biomass,3.373183272,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_2,NO1_2 hydro,hydro,139.0942043,0,0,0.46,inflow_NO1,587826.7908,10,hydro,const,0.6,0,0,5,,,,updated
NO1_2,NO1_2 wind_on,wind_on,40.27977672,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_2,NO1_2 fossil_gas,fossil_gas,0.694478909,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_2,NO1_2 solar,solar,1.686591636,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_2,NO1_2 ror,ror,257.8500978,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_3,NO1_3 fossil_gas,fossil_gas,3.982969984,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_3,NO1_3 biomass,biomass,19.34585421,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
