const,csp,flexdemand,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30,week 31,week 32,week 33,week 34,week 35,week 36,week 37,week 38,week 39,week 40,week 41,week 42,week 43,week 44,week 45,week 46,week 47,week 48,week 49,week 50,week 51,week 52
1,1.142222222,2.8,8.460926549,8.36625265,8.483925643,8.150468493,8.108375589,8.397958407,8.260272628,8.094567008,8.030780473,8.043981542,8.050968328,8.010802112,7.883286021,7.978512575,7.764899222,7.825064063,7.787707337,7.554204483,7.581438137,7.444735053,7.435242973,7.435134768,7.507353637,7.509777747,7.489239644,7.443586713,7.460661909,7.418652547,7.373321426,7.36733355,7.391153121,7.422416282,7.456860495,7.517216082,7.511816364,7.446759052,7.522526318,7.562953366,7.698501591,7.734792573,7.789590629,7.766487746,7.759400373,7.906833935,7.900989651,7.95882107,8.211872549,8.066211154,8.156190375,8.218367989,8.141562101,7.99610001
1,1.137777778,2.75,8.216347922,8.112598118,8.241551822,7.876127831,7.829999694,8.147343344,7.99645833,7.814867355,7.74496593,7.759432518,7.767089091,7.723072345,7.583331934,7.687687373,7.453595995,7.519528532,7.478590608,7.222703022,7.252547428,7.102739314,7.092337277,7.092218699,7.171360824,7.17401732,7.151510334,7.101480889,7.120192998,7.074156412,7.024479626,7.017917723,7.044020754,7.078280956,7.11602716,7.182168731,7.17625137,7.104957344,7.187988032,7.232290616,7.38083316,7.420603174,7.480654441,7.455336802,7.447569999,7.609137266,7.602732721,7.666108144,7.943418382,7.78379317,7.88239824,7.950536506,7.866367629,7.706960826
1,1.133333333,2.7,7.958150541,7.845266619,7.985573389,7.587977521,7.53778827,7.88307081,7.718901901,7.521323682,7.445268145,7.461008369,7.469339026,7.421447052,7.269403915,7.382946792,7.128246042,7.199983271,7.155441177,6.877025285,6.909497187,6.746499989,6.735182158,6.73505314,6.821162926,6.824053301,6.799564803,6.745130772,6.765490292,6.715400652,6.661350329,6.654210717,6.682611855,6.719888321,6.760957695,6.83292236,6.826484036,6.748913294,6.839253992,6.887456969,7.049077178,7.092348538,7.15768671,7.13014011,7.121689518,7.297481145,7.290512744,7.359467731,7.661192323,7.48751373,7.594799977,7.668937126,7.577358032,7.403917077
1,1.128888889,2.65,7.690791467,7.568791576,7.720428854,7.290725033,7.236482736,7.609648654,7.432222244,7.218688547,7.136491126,7.153502456,7.162505858,7.110746355,6.946424937,7.069136997,6.793867825,6.871398212,6.82325911,6.522359673,6.557453853,6.381293775,6.36906197,6.368922533,6.461986137,6.465109924,6.438643851,6.379813987,6.401817645,6.347683003,6.289267833,6.28155166,6.31224634,6.352533075,6.396919017,6.474695206,6.467736953,6.383901967,6.481538151,6.533633771,6.70830566,6.755071409,6.825685982,6.795914849,6.786781827,6.976769551,6.969238415,7.043761878,7.369852314,7.182148264,7.298098438,7.378222551,7.279247965,7.091800743
1,1.124444444,2.6,7.419689525,7.288675835,7.45151663,6.990064717,6.9318148,7.332551583,7.14201626,6.912705911,6.824435443,6.842703633,6.852372239,6.796788554,6.620326468,6.752104945,6.456497877,6.539756493,6.488060698,6.164929709,6.202616774,6.013441345,6.000305809,6.00015607,6.100095553,6.103450138,6.075028655,6.011852225,6.035481593,5.977347286,5.914616189,5.906329917,5.939292432,5.982555699,6.030221037,6.113743616,6.106271262,6.016242239,6.121092142,6.177036778,6.364614066,6.41483504,6.490666876,6.458696142,6.44888834,6.652913053,6.644825489,6.724855019,7.075038212,6.873465897,6.997982896,7.084026872,6.97773968,6.776443171
1,1.12,2.55,7.150925644,7.011088878,7.184896136,6.692367888,6.630195149,7.057919425,6.85455256,6.609799377,6.515584363,6.535082818,6.545402553,6.486075602,6.297729732,6.43838279,6.122868156,6.211733798,6.156556566,5.811664421,5.85188951,5.64997412,5.635953976,5.635794153,5.74246403,5.746044527,5.715709008,5.648277982,5.673498663,5.611449318,5.544493616,5.535649307,5.570831672,5.61700849,5.667883836,5.757031216,5.749055639,5.65296364,5.764874627,5.824586837,6.024796459,6.078399548,6.159338256,6.125214463,6.114746157,6.33251085,6.323878633,6.409297726,6.783063896,6.567916758,6.700819314,6.792657895,6.679212826,6.464360066
1,1.115555556,2.5,6.890809114,6.742428922,6.926855057,6.404235447,6.338264221,6.792120614,6.576328906,6.316622355,6.216651207,6.237340934,6.248291161,6.185339588,5.985486594,6.134732949,5.799941726,5.894236677,5.835688353,5.469724778,5.512407448,5.298155895,5.28327918,5.283109592,5.396296541,5.400095791,5.367906902,5.296356129,5.323117686,5.257277393,5.186230984,5.176846326,5.214178183,5.263176206,5.317159817,5.41175372,5.403290869,5.301328062,5.420076329,5.483436698,5.695878269,5.752756277,5.838639992,5.802431382,5.791323508,6.022392689,6.01323308,6.103870913,6.500472592,6.272180887,6.413203219,6.510652743,6.390276667,6.162297326
1,1.111111111,2.45,6.64536075,6.488801312,6.683393674,6.131965405,6.062357609,6.541232187,6.31354527,6.039522766,5.934040852,5.955871071,5.967424913,5.901003225,5.69013362,5.847606967,5.494360857,5.593853682,5.532077965,5.145941171,5.190976662,4.964914798,4.949218026,4.94903909,5.068465307,5.072473986,5.038510731,4.963015823,4.991252572,4.921782927,4.846820187,4.836918213,4.876307935,4.928006905,4.984966284,5.084774541,5.075845188,4.968261826,5.093555923,5.160408941,5.38456105,5.444574377,5.535192309,5.496987752,5.485267572,5.729074111,5.719409591,5.815043706,6.233507485,5.992631526,6.141427512,6.244248802,6.117237167,5.876690791
1,1.106666667,2.4,6.419792261,6.255493142,6.459705383,5.881016677,5.807967747,6.310515994,6.071573134,5.78400404,5.673307516,5.696216934,5.708341953,5.638636639,5.417342473,5.582600681,5.211891477,5.316302834,5.25147317,4.846247298,4.893509166,4.656271695,4.639798936,4.639611155,4.764941332,4.769148184,4.73350592,4.654278842,4.683911505,4.611007555,4.532338952,4.521947464,4.563284458,4.617539221,4.677314448,4.782056831,4.772686045,4.659784187,4.791272329,4.861430297,5.096663601,5.159643751,5.254741475,5.214648235,5.202348656,5.458208028,5.448065733,5.54842762,5.987578597,5.734794681,5.890946554,5.998850922,5.865560334,5.613122294
1,1.102222222,2.35,6.218070883,6.046533868,6.259742304,5.655560529,5.579293562,6.10398065,5.854511601,5.554274178,5.438701121,5.462619772,5.475278936,5.402502883,5.171460008,5.343998364,4.956958246,5.065969254,4.998283638,4.575206283,4.624550186,4.376861654,4.359663218,4.359467164,4.490318533,4.49471071,4.457498291,4.37478101,4.405719085,4.329603485,4.247469281,4.236620015,4.279778035,4.336422892,4.398831406,4.508188023,4.498404425,4.380528882,4.517809493,4.591058142,4.836654217,4.902408842,5.001695922,4.959836448,4.946995033,5.214125821,5.203536725,5.308319871,5.766816839,5.502896991,5.665927848,5.778585746,5.639423285,5.37586455
1,1.097777778,2.3,6.042643557,5.864416779,6.08594012,5.458195889,5.378954591,5.924103925,5.664905845,5.352959477,5.232879192,5.257730646,5.270883504,5.19526926,4.955215956,5.134483126,4.73234885,4.845611173,4.775285889,4.335708961,4.386977224,4.1296291,4.111759942,4.111556242,4.247510677,4.252074145,4.21341048,4.127467312,4.159611939,4.080527911,3.99519056,3.983918184,4.028759321,4.087613268,4.152455649,4.266077059,4.255911911,4.133439346,4.276073756,4.352179025,4.60735309,4.675672076,4.778831249,4.735339299,4.721997082,4.99954569,4.988543631,5.09741321,5.573791078,5.299578634,5.468967523,5.58601896,5.441429309,5.167592061
1,1.093333333,2.25,5.894359194,5.710020188,5.939140598,5.289868092,5.20790924,5.771754285,5.503667095,5.181022632,5.056824235,5.082527961,5.096131892,5.017924483,4.769638633,4.95505371,4.539128375,4.656274991,4.583537925,4.128885856,4.181912347,3.915738556,3.897256582,3.897045897,4.037662842,4.042382813,4.002393191,3.913502631,3.946749647,3.864953459,3.776689493,3.765030534,3.811409483,3.872281806,3.939347934,4.056865952,4.046352193,3.919679473,4.067205483,4.145920756,4.409845929,4.480507891,4.587204872,4.54222138,4.528421597,4.81548864,4.804109269,4.916712493,5.409427579,5.125811111,5.301009135,5.422074812,5.272526508,4.989298104
1,1.088888889,2.2,5.772583154,5.582722452,5.818705942,5.149985106,5.065571256,5.646305734,5.370188251,5.037879286,4.909960646,4.936434302,4.950445725,4.869895689,4.614172676,4.805141683,4.376757707,4.497413336,4.422497502,3.95422677,4.008841618,3.734694848,3.715659264,3.715442268,3.860271259,3.865132611,3.823945139,3.732391948,3.766634847,3.682388533,3.591480705,3.579472513,3.627240698,3.689936393,3.759011422,3.880049579,3.869220891,3.738753812,3.89069882,3.971771933,4.243602729,4.316381302,4.426274289,4.37994336,4.365730218,4.661396076,4.649675847,4.765651992,5.273125881,4.981013957,5.161459869,5.28615195,5.132124071,4.840411834
1,1.084444444,2.15,5.675460115,5.480666644,5.722781218,5.036686355,4.950079349,5.545901882,5.262610595,4.921667915,4.790425822,4.81758729,4.831962744,4.749319939,4.486952989,4.682883559,4.243369744,4.367160126,4.290297904,3.809861037,3.865894832,3.584625459,3.565095312,3.564872678,3.713464469,3.718452124,3.67619456,3.582262727,3.61739529,3.530960174,3.43769047,3.425370295,3.474379544,3.538704135,3.609573802,3.733756649,3.722646621,3.588789879,3.744682568,3.827862041,4.106755269,4.181424702,4.294172816,4.246638164,4.23205575,4.5354033,4.523378568,4.642367887,5.163026449,4.863325169,5.048459243,5.176390948,5.018361273,4.719070064
1,1.08,2.1,5.600260555,5.401109661,5.648640205,4.947197775,4.858653419,5.467804176,5.178175818,4.829606436,4.69542853,4.723197584,4.73789461,4.65340313,4.385167176,4.585480605,4.136135107,4.262694612,4.184113024,3.692929047,3.750216288,3.462655073,3.442688047,3.442460433,3.59437614,3.599475366,3.556272524,3.460239488,3.496157947,3.407789325,3.312433229,3.299837457,3.349943017,3.415706513,3.488161496,3.615122246,3.603763692,3.466912648,3.626292572,3.711332724,3.996464641,4.072804387,4.188074616,4.139476639,4.124568025,4.434701293,4.422407574,4.54405862,5.076364029,4.769958595,4.959234017,5.090027484,4.928462772,4.622476582
1,1.075555556,2.05,5.543744896,5.340789264,5.593048829,4.878205483,4.787969504,5.408757964,5.113596314,4.758367584,4.621626236,4.649925813,4.664903622,4.578797949,4.305437401,4.509577778,4.051647624,4.180625023,4.10054215,3.599974201,3.658355903,3.365300889,3.344952397,3.344720434,3.499538461,3.504735107,3.460706883,3.362839155,3.399443829,3.309386942,3.212209087,3.199372676,3.250435492,3.317455387,3.391294608,3.520680917,3.50910536,3.369639804,3.532064649,3.618729477,3.909308782,3.987106984,4.104579427,4.055052996,4.039859556,4.355917858,4.34338927,4.467364434,5.009839431,4.697580183,4.890471674,5.023763924,4.85911255,4.547280556
