Node,NO4_1,NO4_1,NO4_1,NO4_1,NO4_1,NO4_1,NO4_2,NO4_2,NO4_2,NO4_2,NO4_2,NO4_2,NO4_3,NO4_3,NO4_3,NO4_3,NO4_3,NO4_3
Week,Load,biomass,fossil_gas,hydro,ror,wind_on,Load,biomass,fossil_gas,hydro,ror,wind_on,Load,biomass,fossil_gas,hydro,ror,wind_on
41,232771.6963,4697.931543,0,108538.3069,11558.64197,34141.14106,73208.34849,2128.984128,0,45980.18606,5238.085116,15471.90434,146173.1623,6109.08433,0,141861.8309,15030.59759,44396.3706
42,210396.6984,4697.931543,0,131835.6502,11674.05854,21751.43031,66171.25303,2128.984128,0,36722.24813,5290.388997,9857.199805,132122.3809,6109.08433,0,134559.172,15180.6827,28285.06989
43,219645.8822,4697.931543,0,139236.5087,10444.33041,12103.96059,69080.1869,2128.984128,0,65575.43241,4733.107214,5485.209768,137930.5718,6109.08433,0,164381.4702,13581.57195,15739.71764
44,246006.3982,4697.931543,0,116492.2379,6716.62926,46287.92415,77370.75603,2128.984128,0,55294.87971,3043.807036,20976.52019,154484.1307,6109.08433,0,85807.831,8734.153357,60191.77366
45,221351.5995,4697.931543,0,152340.9895,5626.791901,17738.92175,69616.6471,2128.984128,0,51838.68748,2549.920223,8038.832092,139001.7076,6109.08433,0,154594.9046,7316.953411,23067.29416
46,231929.0993,4697.931543,0,161342.4134,4914.900349,22306.12179,72943.34576,2128.984128,0,60744.67811,2227.30892,10108.572,145644.0384,6109.08433,0,228510.8955,6391.225676,29006.3782
47,256715.0193,4697.931543,0,140568.8692,3995.446202,45288.99922,80738.69327,2128.984128,0,69774.63371,1810.635483,20523.8326,161208.8014,6109.08433,0,88722.6244,5195.588219,58892.79418
48,254143.9012,4697.931543,0,156899.0017,5298.195707,21604.15291,79930.05843,2128.984128,0,80685.72738,2401.008712,9790.457404,159594.2217,6109.08433,0,246801.376,6889.654323,28093.55368
49,250003.318,4697.931543,0,114679.7365,8015.099124,16640.74466,78627.81565,2128.984128,0,84229.51748,3632.24084,7541.165923,156994.0682,6109.08433,0,302752.0953,10422.65431,21639.24942
50,263439.8327,4697.931543,0,164834.0217,4723.921364,21254.3691,82853.69475,2128.984128,0,101085.6526,2140.762059,9631.9442,165431.7686,6109.08433,0,372449.6768,6142.880907,27638.7027
51,274014.482,4697.931543,0,186077.3807,3408.600413,11535.26174,86179.49693,2128.984128,0,126919.2871,1544.691767,5227.489788,172072.3093,6109.08433,0,388853.7309,4432.467178,15000.19447
52,243304.1588,4697.931543,0,202784.9683,2588.246706,17686.09398,76520.88259,2128.984128,0,127038.7997,1172.92815,8014.891882,152787.211,6109.08433,0,386902.8335,3365.697701,22998.59813
