Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,Unnamed: 12,Unnamed: 13,Unnamed: 14,status
41,SE4_1,SE4_1,1924.6571231579999,load_SE4,0,0,0,0,,,0.5,,,,updated
42,SE3_1,SE3_1,880.2627408035999,load_SE3,0,0,0,0,,,0.5,,,,updated
43,SE3_5,SE3_5,815.899161231,load_SE3,0,0,0,0,,,0.5,,,,updated
44,SE2_7,SE2_7,427.12488472499996,load_SE2,0,0,0,0,,,0.5,,,,updated
45,SE3_3,SE3_3,2924.3020486679998,load_SE3,0,0,0,0,,,0.5,,,,updated
46,SE3_10,SE3_10,563.7255994062,load_SE3,0,0,0,0,,,0.5,,,,updated
47,SE2_6,SE2_6,233.5353717312,load_SE2,0,0,0,0,,,0.5,,,,updated
48,SE3_2,SE3_2,651.3577281288,load_SE3,0,0,0,0,,,0.5,,,,updated
49,SE1_3,SE1_3,938.2819752306,load_SE1,0,0,0,0,,,0.5,,,,updated
50,SE3_9,SE3_9,1138.477804695,load_SE3,0,0,0,0,,,0.5,,,,updated
51,SE3_8,SE3_8,1006.6627930589999,load_SE3,0,0,0,0,,,0.5,,,,updated
52,SE3_6,SE3_6,2898.9284052959997,load_SE3,0,0,0,0,,,0.5,,,,updated
53,SE1_1,SE1_1,768.5311987583999,load_SE1,0,0,0,0,,,0.5,,,,updated
54,SE3_4,SE3_4,1218.8441460887998,load_SE3,0,0,0,0,,,0.5,,,,updated
55,SE2_4,SE2_4,255.68685200519997,load_SE2,0,0,0,0,,,0.5,,,,updated
56,SE3_7,SE3_7,1124.1481423788,load_SE3,0,0,0,0,,,0.5,,,,updated
57,SE2_5,SE2_5,425.5996588074,load_SE2,0,0,0,0,,,0.5,,,,updated
58,SE2_2,SE2_2,546.4268696501999,load_SE2,0,0,0,0,,,0.5,,,,updated
59,GB,GB,34401.899692060004,load_GB,0,0,0,0,,,0.5,,,,
60,DE,DE,68013.62863278801,load_DE,0,0,0,0,,,0.5,,,,
61,NL,NL,18186.66425267,load_NL,0,0,0,0,,,0.5,,,,
62,EE,EE,1701.2575403679998,load_EE,0,0,0,0,,,0.5,,,,
63,LT,LT,2188.30778402,load_LT,0,0,0,0,,,0.5,,,,
64,PL,PL,27588.797002050003,load_PL,0,0,0,0,,,0.5,,,,
