Kolonne1,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status,source
68,FI_2,FI_2 ror,ror,77.88888524,0,0,0.46,inflow_NO1,134812.3741,15,ror,const,0.6,0,0,0,,,,created,
69,FI_2,FI_2 wind_on,wind_on,224.6784259,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
70,FI_2,FI_2 hydro,hydro,25.8,0,0,0.46,inflow_NO1,44655.39906,12.5,hydro,const,0.6,0,0,5,,,,updated,
71,FI_2,FI_2 solar,solar,1.284032833,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,created,
72,FI_2,FI_2 biomass,biomass,76.03113561,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
73,FI_2,FI_2 fossil_gas,fossil_gas,47.59117436,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
74,FI_2,FI_2 fossil_other,fossil_other,88.02454867,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,created,
75,FI_3,FI_3 ror,ror,232.6516202,0,0,0.46,inflow_NO1,402680.2691,15,ror,const,0.6,0,0,0,,,,created,
76,FI_3,FI_3 solar,solar,3.835365188,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,created,
77,FI_3,FI_3 fossil_gas,fossil_gas,142.1533225,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
78,FI_3,FI_3 wind_on,wind_on,671.1073044,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
79,FI_3,FI_3 fossil_other,fossil_other,262.9265242,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
80,FI_3,FI_3 biomass,biomass,227.1025812,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
81,FI_4,FI_4 biomass,biomass,253.5524027,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
82,FI_4,FI_4 fossil_gas,fossil_gas,158.7094091,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
83,FI_4,FI_4 wind_on,wind_on,749.2687604,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
84,FI_4,FI_4 fossil_other,fossil_other,293.5486316,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,created,
85,FI_4,FI_4 solar,solar,4.282056388,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,created,
86,FI_4,FI_4 hydro,hydro,50.4,0,0,0.46,inflow_NO1,87233.80282,12.5,hydro,const,0.6,0,0,0,,,,created,
87,FI_4,FI_4 ror,ror,259.7477184,0,0,0.46,inflow_NO1,449578.993,15,ror,const,0.6,0,0,0,,,,created,
88,FI_5,FI_5 hydro,hydro,6.3,0,0,0.46,inflow_NO1,10904.22535,12.5,hydro,const,0.6,0,0,0,,,,created,
89,FI_5,FI_5 ror,ror,62.144505,0,0,0.46,inflow_NO1,107561.5376,15,ror,const,0.6,0,0,0,,,,created,
90,FI_5,FI_5 wind_on,wind_on,179.2621568,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
91,FI_5,FI_5 solar,solar,1.024479739,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
92,FI_5,FI_5 biomass,biomass,60.662279,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
93,FI_5,FI_5 fossil_other,fossil_other,70.23135571,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
94,FI_5,FI_5 fossil_gas,fossil_gas,37.97114266,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
95,FI_6,FI_6 solar,solar,3.324316015,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
96,FI_6,FI_6 fossil_gas,fossil_gas,123.211883,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
97,FI_6,FI_6 hydro,hydro,28.5,0,0,0.46,inflow_NO1,49328.6385,12.5,hydro,const,0.6,0,0,0,,,,created,
98,FI_6,FI_6 wind_on,wind_on,581.6845726,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
99,FI_6,FI_6 fossil_other,fossil_other,227.8924724,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
100,FI_6,FI_6 biomass,biomass,196.8419462,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
101,FI_6,FI_6 ror,ror,201.6515949,0,0,0.46,inflow_NO1,349024.5132,15,ror,const,0.6,0,0,0,,,,created,
102,FI_7,FI_7 fossil_gas,fossil_gas,78.84830815,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
103,FI_7,FI_7 hydro,hydro,85,0,0,0.46,inflow_NO1,147120.5008,12.5,hydro,const,0.6,0,0,0,,,,created,
104,FI_7,FI_7 ror,ror,129.0450784,0,0,0.46,inflow_NO1,223355.0183,15,ror,const,0.6,0,0,0,,,,created,
105,FI_7,FI_7 biomass,biomass,125.9671881,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
106,FI_7,FI_7 fossil_other,fossil_other,145.8376859,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
107,FI_7,FI_7 solar,solar,2.127365375,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
108,FI_7,FI_7 wind_on,wind_on,372.2436775,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
109,FI_8,FI_8 biomass,biomass,71.7028617,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
110,FI_8,FI_8 fossil_other,fossil_other,83.01351793,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
111,FI_8,FI_8 wind_on,wind_on,211.888011,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
112,FI_8,FI_8 ror,ror,73.45485401,0,0,0.46,inflow_NO1,127137.8224,15,ror,const,0.6,0,0,0,,,,created,
113,FI_8,FI_8 hydro,hydro,3.4,0,0,0.46,inflow_NO1,5884.820031,12.5,hydro,const,0.6,0,0,0,,,,created,
114,FI_8,FI_8 solar,solar,1.210935861,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
115,FI_8,FI_8 fossil_gas,fossil_gas,44.88192062,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
116,FI_9,FI_9 ror,ror,108.94445,0,0,0.46,inflow_NO1,188564.2594,15,ror,const,0.6,0,0,0,,,,created,
